ticker,avg_30d_volatility
TSLA,0.0273615245156722
AMD,0.0259608228903474
INTC,0.0257488826202002
MU,0.0245912378534017
NVDA,0.0230230535825221
000660.KS,0.0227782607063068
AVGO,0.0216914433969907
TSM,0.0170668415419374
META,0.0164197031049097
005930.KS,0.0162703208846054
LLY,0.0160095444869093
AMZN,0.0148477384099972
GOOG,0.0143387621077979
AAPL,0.0124782367810033
MSFT,0.0119517558838132
JPM,0.011809280134869
WMT,0.0103960700854492
V,0.0100805180615901
BRK-B,0.00848375444864182
2222.SR,0.00750458144161759
